Table S3: 242 DEGs between control normal and SLE samples,,,,,,
id,logFC,AveExpr,t,P.Value,adj.P.Val,B
VOPP1,0.730630818,6.326417475,7.565173201,1.97E-13,1.93E-12,19.90422137
HNRNPD,-0.713470254,5.40140599,-7.53748811,2.38E-13,2.29E-12,19.71876997
ZNF480,-0.713153031,3.149025723,-7.522385059,2.64E-13,2.51E-12,19.61782643
LIMD2,0.715906809,5.727311613,7.509387507,2.88E-13,2.72E-12,19.53108314
GPT,0.830212962,4.197340204,7.503164616,3.01E-13,2.82E-12,19.48959461
GPR171,0.928121755,5.60883751,7.48060782,3.51E-13,3.25E-12,19.33943431
SNCG,0.837646668,3.920715657,7.467533102,3.84E-13,3.52E-12,19.25255972
SHCBP1,-1.576683585,3.076888159,-7.4621338,3.98E-13,3.63E-12,19.21671929
ARL2BP,-0.795443697,4.515274788,-7.44804926,4.38E-13,3.96E-12,19.12332308
TMEM87A,-0.716937223,4.936046284,-7.435614798,4.77E-13,4.29E-12,19.04098493
ABO,0.717052505,3.934103434,7.392858113,6.37E-13,5.58E-12,18.75869329
REEP2,0.734676945,3.924684791,7.379589372,6.96E-13,6.07E-12,18.67135238
PLP1,-0.768567786,2.620698241,-7.376518978,7.11E-13,6.19E-12,18.65115943
NPM1,1.113595284,6.010277719,7.304422258,1.15E-12,9.60E-12,18.17892973
PPCDC,0.872765315,5.20178668,7.254692498,1.61E-12,1.29E-11,17.85536385
TNFAIP6,0.745915596,5.264645325,7.229915723,1.90E-12,1.49E-11,17.69481564
BLZF1,-0.770599592,4.05961159,-7.206302602,2.22E-12,1.71E-11,17.54221827
AIRE,-0.837105893,4.109354834,-7.192945614,2.43E-12,1.86E-11,17.45607789
GYPB,0.740461814,4.707396401,7.168465465,2.85E-12,2.16E-11,17.29853735
DKK4,0.731342625,3.797297593,7.167932449,2.86E-12,2.16E-11,17.29511197
SIGLEC5,0.771507427,5.693729943,7.113224189,4.10E-12,2.99E-11,16.9446281
S1PR5,-0.755917294,4.035896531,-7.112147425,4.13E-12,3.00E-11,16.93775168
RPL29,0.802245622,6.568882097,7.074687129,5.28E-12,3.77E-11,16.69904774
SLC4A1,0.74329393,5.074811775,7.073298655,5.33E-12,3.78E-11,16.69021976
SPTB,0.704807365,4.466775303,7.070663494,5.42E-12,3.83E-11,16.67346914
PRNP,-0.812949735,4.698589968,-7.067590385,5.53E-12,3.90E-11,16.65394106
RC3H1,0.859011722,5.157524495,7.029349169,7.09E-12,4.89E-11,16.41151371
TINAGL1,0.804393351,4.339363227,7.014412223,7.82E-12,5.32E-11,16.31711235
KLHL2,0.73935851,5.993597644,7.002059733,8.47E-12,5.70E-11,16.23916817
ST20,1.050829008,5.478095208,6.975320609,1.01E-11,6.64E-11,16.0708277
MANSC1,0.852418592,5.123175942,6.943662017,1.24E-11,8.03E-11,15.87219531
KCNJ15,0.762608339,5.306423965,6.943081422,1.24E-11,8.05E-11,15.86855943
HBD,0.765787624,6.244460579,6.9366687,1.29E-11,8.34E-11,15.82841734
GCGR,0.725218815,3.663500944,6.919284698,1.44E-11,9.24E-11,15.71975025
CYP4F3,0.88168472,5.50441864,6.918132693,1.46E-11,9.29E-11,15.71255697
IGLL1,-0.822996236,4.146848933,-6.91394984,1.50E-11,9.51E-11,15.68644688
ERGIC3,-0.704628356,4.493402484,-6.848858141,2.27E-11,1.40E-10,15.2818016
PDIA3,0.822586545,5.188778508,6.841701399,2.37E-11,1.45E-10,15.23750313
KIAA0101,-0.91121427,4.539639146,-6.831532749,2.53E-11,1.54E-10,15.17462717
RPL18,-0.729476045,6.113282284,-6.729475225,4.83E-11,2.77E-10,14.5478441
ITGB1,-0.716003537,4.507727657,-6.698420256,5.86E-11,3.31E-10,14.35866851
PRDM12,0.837563956,4.054503572,6.689021719,6.22E-11,3.49E-10,14.30155893
USP49,-0.77705466,3.83777194,-6.606806013,1.04E-10,5.59E-10,13.80482101
PIK3IP1,-0.701339821,5.070593481,-6.576006014,1.25E-10,6.65E-10,13.62004791
ZNF682,-0.779349558,3.676224602,-6.529197393,1.67E-10,8.67E-10,13.34061744
APOL2,0.877797739,5.589538458,6.526305206,1.70E-10,8.80E-10,13.32340687
HCG4,-0.814474169,3.563610911,-6.514691509,1.83E-10,9.40E-10,13.25436139
AHSP,0.733173548,5.407188824,6.493397929,2.08E-10,1.06E-09,13.1280348
KRT1,0.911033451,4.980193925,6.489172363,2.14E-10,1.09E-09,13.10300736
COPA,-0.716772568,4.570926288,-6.483641632,2.21E-10,1.12E-09,13.07027025
SUZ12,-0.706656861,4.929976435,-6.465270006,2.47E-10,1.24E-09,12.9616943
GTF2H5,-0.880797717,3.955773426,-6.385618859,4.01E-10,1.93E-09,12.49395434
RPS14,-0.841993094,5.745452242,-6.371410782,4.37E-10,2.09E-09,12.4110328
FAM120A,-0.707779636,4.879966465,-6.347628606,5.04E-10,2.38E-09,12.27258353
TECR,-0.764227016,4.232144613,-6.312682784,6.21E-10,2.88E-09,12.06993847
FKBP8,0.9740673,5.815380901,6.270578439,7.98E-10,3.62E-09,11.82704067
YWHAH,-0.891633576,4.511716929,-6.260391643,8.47E-10,3.83E-09,11.76848066
OLFM4,0.84373971,4.859043154,6.246702516,9.19E-10,4.13E-09,11.68991435
ENO1,-0.804279782,5.20442128,-6.246272731,9.21E-10,4.13E-09,11.68745004
MYC,-0.742944365,4.545560425,-6.23714519,9.72E-10,4.35E-09,11.63514836
MGAM,1.141688814,5.771772974,6.236991408,9.73E-10,4.35E-09,11.63426774
ALPP,-0.947486265,3.910470924,-6.159020182,1.54E-09,6.65E-09,11.19014842
MYL4,0.798584568,5.685325702,6.157963435,1.55E-09,6.69E-09,11.18416196
IL1R2,0.853296606,5.497145314,6.157922239,1.55E-09,6.69E-09,11.18392861
RPL31,-0.999314128,5.556213766,-6.052413456,2.86E-09,1.17E-08,10.5906501
SELENBP1,0.772486027,5.358327718,5.985813822,4.20E-09,1.66E-08,10.22068837
EPB42,1.102239443,5.333877994,5.92552764,5.92E-09,2.28E-08,9.888838229
PSMC3IP,0.839613904,5.223861256,5.876810899,7.79E-09,2.93E-08,9.62279266
KRT23,0.999453589,5.487708294,5.815642482,1.10E-08,4.01E-08,9.291441637
HLA-DRB4,-1.032051004,4.177209137,-5.741985628,1.65E-08,5.87E-08,8.896438292
RFTN1,-0.71261774,4.733267655,-5.716395094,1.91E-08,6.68E-08,8.760228995
TNFRSF10C,0.739243253,5.439160404,5.578683214,4.04E-08,1.34E-07,8.036376253
PPP4R2,0.797737951,5.008420642,5.559584618,4.48E-08,1.47E-07,7.937210768
ZNF528,0.888647504,4.932660215,5.518224893,5.59E-08,1.81E-07,7.723484084
NECAB2,0.803727202,4.642047843,5.503870959,6.03E-08,1.94E-07,7.649638418
RPS27A,-0.830198198,5.824585476,-5.461098924,7.58E-08,2.41E-07,7.43059777
CXCR1,0.946730508,5.727423898,5.376297097,1.18E-07,3.65E-07,7.000784258
KCNJ2,0.84185117,5.884742906,5.35506287,1.32E-07,4.05E-07,6.894092427
MMP8,0.729005039,3.9898774,5.300558829,1.76E-07,5.25E-07,6.62195179
SPATA1,0.836986565,4.376488703,5.175949147,3.33E-07,9.52E-07,6.00909027
DDX6,0.800323938,5.35120186,4.992562724,8.33E-07,2.24E-06,5.130917289
MME,0.88782183,5.340125747,4.942450887,1.06E-06,2.82E-06,4.895910175
ST6GALNAC2,0.731259607,5.357312674,4.805535689,2.06E-06,5.21E-06,4.264764547
STEAP4,0.85666717,5.237373544,4.782001747,2.31E-06,5.77E-06,4.157898747
PHLPP1,0.732458029,5.124183281,4.759358306,2.57E-06,6.37E-06,4.05552685
MEFV,0.77748588,5.93141517,4.711374247,3.22E-06,7.88E-06,3.84005091
SPCS2,-1.038472459,3.807142746,-4.374796599,1.49E-05,3.30E-05,2.384896648
BTNL8,0.786014989,4.416705999,4.219363657,2.93E-05,6.20E-05,1.746484345
RPLP2,-0.708289345,5.666533983,-4.136049493,4.17E-05,8.64E-05,1.413112644
PI3,0.777482848,5.533442785,3.991022635,7.60E-05,0.000151644,0.847596512
